Date,spx
25/02/98,1042.900024
26/02/98,1048.670044
27/02/98,1049.339966
02/03/98,1047.699951
03/03/98,1052.02002
04/03/98,1047.329956
05/03/98,1035.050049
06/03/98,1055.689941
09/03/98,1052.310059
10/03/98,1064.25
11/03/98,1068.469971
12/03/98,1069.920044
13/03/98,1068.609985
16/03/98,1079.27002
17/03/98,1080.449951
18/03/98,1085.52002
19/03/98,1089.73999
20/03/98,1099.160034
23/03/98,1095.550049
24/03/98,1105.650024
25/03/98,1101.930054
26/03/98,1100.800049
27/03/98,1095.439941
30/03/98,1093.599976
31/03/98,1101.75
01/04/98,1108.150024
02/04/98,1120.01001
03/04/98,1122.699951
06/04/98,1121.380005
07/04/98,1109.550049
08/04/98,1101.650024
09/04/98,1110.670044
10/04/98,1110.670044
13/04/98,1109.689941
14/04/98,1115.75
15/04/98,1119.319946
16/04/98,1108.170044
17/04/98,1122.719971
20/04/98,1123.650024
21/04/98,1126.670044
22/04/98,1130.540039
23/04/98,1119.579956
24/04/98,1107.900024
27/04/98,1086.540039
28/04/98,1085.109985
29/04/98,1094.619995
30/04/98,1111.75
01/05/98,1121
04/05/98,1122.069946
05/05/98,1115.5
06/05/98,1104.920044
07/05/98,1095.140015
08/05/98,1108.140015
11/05/98,1106.640015
12/05/98,1115.790039
13/05/98,1118.859985
14/05/98,1117.369995
15/05/98,1108.72998
18/05/98,1105.819946
19/05/98,1109.52002
20/05/98,1119.060059
21/05/98,1114.640015
22/05/98,1110.469971
25/05/98,1110.469971
26/05/98,1094.02002
27/05/98,1092.22998
28/05/98,1097.599976
29/05/98,1090.819946
01/06/98,1090.97998
02/06/98,1093.219971
03/06/98,1082.72998
04/06/98,1094.829956
05/06/98,1113.859985
08/06/98,1115.719971
09/06/98,1118.410034
10/06/98,1112.280029
11/06/98,1094.579956
12/06/98,1098.839966
15/06/98,1077.01001
16/06/98,1087.589966
17/06/98,1107.109985
18/06/98,1106.369995
19/06/98,1100.650024
22/06/98,1103.209961
23/06/98,1119.48999
24/06/98,1132.880005
25/06/98,1129.280029
26/06/98,1133.199951
29/06/98,1138.48999
30/06/98,1133.839966
01/07/98,1148.560059
02/07/98,1146.420044
03/07/98,1146.420044
06/07/98,1157.329956
07/07/98,1154.660034
08/07/98,1166.380005
09/07/98,1158.560059
10/07/98,1164.329956
13/07/98,1165.189941
14/07/98,1177.579956
15/07/98,1174.810059
16/07/98,1183.98999
17/07/98,1186.75
