Date,Spot
"ene 21, 1994",14.22
"ene 28, 1994",14.64
"feb 04, 1994",15.13
"feb 11, 1994",13.91
"feb 18, 1994",13.18
"feb 25, 1994",13.24
"mar 04, 1994",13.5
"mar 11, 1994",13.3
"mar 18, 1994",14.18
"mar 25, 1994",14.59
"abr 01, 1994",13.4
"abr 08, 1994",14.34
"abr 15, 1994",15.01
"abr 22, 1994",15.56
"abr 29, 1994",15.84
"may 06, 1994",16
"may 13, 1994",16.29
"may 20, 1994",16.08
"may 27, 1994",16.35
"jun 03, 1994",16.27
"jun 10, 1994",16.06
"jun 17, 1994",16.67
"jun 24, 1994",17.44
"jul 01, 1994",17.34
"jul 08, 1994",17.06
"jul 15, 1994",18.09
"jul 22, 1994",17.42
"jul 29, 1994",17.82
"ago 05, 1994",18.44
"ago 12, 1994",17.51
"ago 19, 1994",16.43
"ago 26, 1994",15.59
"sep 02, 1994",15.93
"sep 09, 1994",15.91
"sep 16, 1994",15.45
"sep 23, 1994",15.85
"sep 30, 1994",16.35
"oct 07, 1994",16.72
"oct 14, 1994",16.07
"oct 21, 1994",16.21
"oct 28, 1994",16.82
"nov 04, 1994",17.58
"nov 11, 1994",17.46
"nov 18, 1994",16.8
"nov 25, 1994",17.06
"dic 02, 1994",16.85
"dic 09, 1994",16
"dic 16, 1994",15.72
"dic 23, 1994",15.62
"dic 30, 1994",16.19
"ene 06, 1995",16.07
"ene 13, 1995",16.23
"ene 20, 1995",16.88
"ene 27, 1995",16.85
"feb 03, 1995",16.99
"feb 10, 1995",16.97
"feb 17, 1995",17.1
"feb 24, 1995",17.18
"mar 03, 1995",16.93
"mar 10, 1995",16.7
"mar 17, 1995",16.41
"mar 24, 1995",17.17
"mar 31, 1995",17.94
"abr 07, 1995",18.24
"abr 14, 1995",18.37
"abr 21, 1995",18.9
"abr 28, 1995",19.07
"may 05, 1995",18.81
"may 12, 1995",18.26
"may 19, 1995",18.42
"may 26, 1995",18.24
"jun 02, 1995",17.65
"jun 09, 1995",17.98
"jun 16, 1995",17.76
"jun 23, 1995",16.67
"jun 30, 1995",16.64
"jul 07, 1995",16.11
"jul 14, 1995",15.92
"jul 21, 1995",15.65
"jul 28, 1995",15.75
"ago 04, 1995",16.02
"ago 11, 1995",16.07
"ago 18, 1995",15.89
"ago 25, 1995",16.29
"sep 01, 1995",16.22
"sep 08, 1995",16.69
"sep 15, 1995",16.94
"sep 22, 1995",16.89
"sep 29, 1995",16.37
"oct 06, 1995",16.23
"oct 13, 1995",15.98
"oct 20, 1995",15.96
"oct 27, 1995",16.12
"nov 03, 1995",16.65
"nov 10, 1995",16.79
"nov 17, 1995",16.75
"nov 24, 1995",16.82
"dic 01, 1995",17.21
"dic 08, 1995",17.53
"dic 15, 1995",17.78
"dic 22, 1995",18.14
"dic 29, 1995",18.72
"ene 05, 1996",19.18
"ene 12, 1996",18.53
"ene 19, 1996",17.61
"ene 26, 1996",17.19
"feb 02, 1996",16.64
"feb 09, 1996",16.99
"feb 16, 1996",17.98
"feb 23, 1996",18.79
"mar 01, 1996",18.77
"mar 08, 1996",18.84
"mar 15, 1996",19.3
"mar 22, 1996",20.55
"mar 29, 1996",20.98
"abr 05, 1996",20.94
"abr 12, 1996",22.67
"abr 19, 1996",20.52
"abr 26, 1996",20.28
"may 03, 1996",19.47
"may 10, 1996",19.63
"may 17, 1996",19.06
"may 24, 1996",19.2
"may 31, 1996",18.67
"jun 07, 1996",18.31
"jun 14, 1996",18.16
"jun 21, 1996",18.56
"jun 28, 1996",18.8
"jul 05, 1996",19.62
"jul 12, 1996",19.8
"jul 19, 1996",19.93
"jul 26, 1996",19.3
"ago 02, 1996",19.07
"ago 09, 1996",19.73
"ago 16, 1996",20.95
"ago 23, 1996",21.15
"ago 30, 1996",20.78
"sep 06, 1996",22.18
"sep 13, 1996",23.08
"sep 20, 1996",22.11
"sep 27, 1996",22.85
"oct 04, 1996",23.59
"oct 11, 1996",24.18
"oct 18, 1996",24.77
"oct 25, 1996",24.7
"nov 01, 1996",23.2
"nov 08, 1996",21.99
"nov 15, 1996",22.88
"nov 22, 1996",23.21
"nov 29, 1996",23.05
"dic 06, 1996",24.18
"dic 13, 1996",23.27
"dic 20, 1996",23.97
"dic 27, 1996",23.57
"ene 03, 1997",24.12
"ene 10, 1997",24.67
"ene 17, 1997",23.23
"ene 24, 1997",22.9
"ene 31, 1997",22.98
"feb 07, 1997",22.53
"feb 14, 1997",20.83
"feb 21, 1997",20.54
"feb 28, 1997",19.83
"mar 07, 1997",19.36
"mar 14, 1997",19.1
"mar 21, 1997",19.51
"mar 28, 1997",18.73
"abr 04, 1997",17.84
"abr 11, 1997",17.14
"abr 18, 1997",17.33
"abr 25, 1997",17.76
"may 02, 1997",18.08
"may 09, 1997",18.06
"may 16, 1997",19.42
"may 23, 1997",19.91
"may 30, 1997",19.15
"jun 06, 1997",18.3
"jun 13, 1997",16.88
"jun 20, 1997",17.27
"jun 27, 1997",17.74
"jul 04, 1997",18.41
"jul 11, 1997",18.17
"jul 18, 1997",18.26
"jul 25, 1997",18.57
"ago 01, 1997",18.96
"ago 08, 1997",19.17
"ago 15, 1997",18.63
"ago 22, 1997",18.6
"ago 29, 1997",17.83
"sep 05, 1997",18.1
"sep 12, 1997",18.11
"sep 19, 1997",18.22
"sep 26, 1997",18.83
"oct 03, 1997",20.14
"oct 10, 1997",20.75
"oct 17, 1997",19.55
"oct 24, 1997",19.56
"oct 31, 1997",19.27
"nov 07, 1997",19.14
"nov 14, 1997",19.59
"nov 21, 1997",19.2
"nov 28, 1997",18.85
"dic 05, 1997",17.92
"dic 12, 1997",17.32
"dic 19, 1997",17.04
"dic 26, 1997",17.06
"ene 02, 1998",16
"ene 09, 1998",15.38
"ene 16, 1998",14.92
"ene 23, 1998",14.72
"ene 30, 1998",15.61
"feb 06, 1998",14.92
"feb 13, 1998",14.36
"feb 20, 1998",13.68
"feb 27, 1998",13.32
