Date,vol_nyse
dic-00,24175.31
ene-01,27844.01
feb-01,21631.06
mar-01,27970.18
abr-01,25529.16
may-01,24568.46
jun-01,24674.21
jul-01,23878.29
ago-01,23590.73
sep-01,25416.71
oct-01,30228.52
nov-01,26671.82
dic-01,25506.1
ene-02,29943.23
feb-02,26254.8
mar-02,26742.87
abr-02,28760.82
may-02,27152.06
jun-02,31739.6
jul-02,41498.59
ago-02,29510.54
sep-02,28180.28
oct-02,38060.91
nov-02,29087.29
dic-02,26204.95
ene-03,30969.34
feb-03,25391.56
mar-03,30224.56
abr-03,29876.91
may-03,31261.54
jun-03,31842.43
jul-03,31924.52
ago-03,25207.01
sep-03,30171.34
oct-03,32891.1
nov-03,24572.37
dic-03,28065.2
ene-04,33261.2
feb-04,28142.48
mar-04,33982.41
abr-04,32018.15
may-04,30000.65
jun-04,28799.13
jul-04,29780.65
ago-04,27357.48
sep-04,27766.61
oct-04,32413.46
nov-04,31383.37
dic-04,32192.9
ene-05,32367.8
feb-05,29986.64
mar-05,37017.11
abr-05,35548.93
