Date,hstarts
abr-83,135.8000031
may-83,174.8999939
jun-83,173.1999969
jul-83,161.6000061
ago-83,176.8000031
sep-83,154.8999939
oct-83,159.3000031
nov-83,136
dic-83,108.3000031
ene-84,109.0999985
feb-84,130
mar-84,137.5
abr-84,172.6999969
may-84,180.6999969
jun-84,184
jul-84,162.1000061
ago-84,147.3999939
sep-84,148.5
oct-84,152.3000031
nov-84,126.1999969
dic-84,98.90000153
ene-85,105.4000015
feb-85,95.40000153
mar-85,145
abr-85,175.8000031
may-85,170.1999969
jun-85,163.1999969
jul-85,160.6999969
ago-85,160.6999969
sep-85,147.6999969
oct-85,173
nov-85,124.0999985
dic-85,120.5
ene-86,115.5999985
feb-86,107.1999969
mar-86,151
abr-86,188.1999969
may-86,186.6000061
jun-86,183.6000061
jul-86,172
ago-86,163.8000031
sep-86,154
oct-86,154.8000031
nov-86,115.5999985
dic-86,113
ene-87,105.0999985
feb-87,102.8000031
mar-87,141.1999969
abr-87,159.3000031
may-87,158
jun-87,162.8999939
jul-87,152.3999939
ago-87,143.6000061
sep-87,152
oct-87,139.1000061
nov-87,118.8000031
dic-87,85.40000153
ene-88,78.19999695
feb-88,90.19999695
mar-88,128.8000031
abr-88,153.1999969
may-88,140.1999969
jun-88,150.1999969
jul-88,137
ago-88,136.8000031
sep-88,131.1000061
oct-88,135.1000061
nov-88,113
dic-88,94.19999695
ene-89,100.0999985
feb-89,85.80000305
mar-89,117.8000031
abr-89,129.3999939
may-89,131.6999969
jun-89,143.1999969
jul-89,134.6999969
ago-89,122.4000015
sep-89,109.3000031
oct-89,130.1000061
nov-89,96.59999847
dic-89,75
ene-90,99.19999695
feb-90,86.90000153
mar-90,108.5
abr-90,119
may-90,121.0999985
jun-90,117.8000031
jul-90,111.1999969
ago-90,102.8000031
sep-90,93.09999847
oct-90,94.19999695
nov-90,81.40000153
dic-90,57.40000153
ene-91,52.5
feb-91,59.09999847
mar-91,73.80000305
abr-91,99.69999695
may-91,97.69999695
jun-91,103.4000015
jul-91,103.5
ago-91,94.69999695
sep-91,86.5
oct-91,101.8000031
nov-91,75.59999847
dic-91,65.59999847
ene-92,71.59999847
feb-92,78.80000305
mar-92,111.5999985
abr-92,107.5999985
may-92,115.1999969
jun-92,117.8000031
jul-92,106.1999969
ago-92,109.9000015
sep-92,106
oct-92,111.8000031
nov-92,84.5
dic-92,78.59999847
ene-93,70.5
feb-93,74.59999847
mar-93,95.5
abr-93,117.8000031
may-93,120.9000015
jun-93,128.5
jul-93,115.3000031
ago-93,121.8000031
sep-93,118.5
oct-93,123.1999969
nov-93,102.3000031
dic-93,98.69999695
ene-94,76.19999695
feb-94,83.5
mar-94,134.3000031
abr-94,137.6000061
may-94,148.8000031
jun-94,136.3999939
jul-94,127.8000031
ago-94,139.8000031
sep-94,130.1000061
oct-94,130.6000061
nov-94,113.4000015
