,Open,High,Low,Close,Volume
1650,13112.90039,13290.75,13112.90039,13245.67969,105710000
1651,13228.24023,13228.32031,12876.59961,12932.73047,164250000
1652,12932.80957,12980.23047,12811.24023,12811.32031,138350000
1653,12811.16992,12890.19043,12743.38965,12815.38965,131670000
1654,12815.92969,12861.28027,12783,12815.08008,62360000
1655,12808.70996,12898.25,12748.50977,12756.17969,142200000
1656,12746.54004,12797.73047,12542.67969,12570.9502,162180000
1657,12571.09961,12600.58984,12496.55957,12542.37988,129150000
1658,12542.30957,12604.16992,12471.49023,12588.30957,197110000
1659,12590.23047,12796.19043,12590.23047,12795.95996,136910000
1660,12790.88965,12808.55957,12701.07031,12788.50977,134160000
1661,12788.36035,12845.99023,12786.12988,12836.88965,97300000
1662,12833.12988,13011.4502,12832.98047,13009.53027,61110000
1663,13008.4502,13008.4502,12900.16992,12967.37012,114360000
1664,12963.37988,12980.19043,12868.25977,12878.12988,117900000
1665,12875.55957,12989.09961,12765.32031,12985.11035,1.31E+08
1666,12977.34961,13062.55957,12961.91992,13021.82031,113620000
1667,13022.04981,13053.74023,12988.67969,13025.58008,171070000
1668,13027.73047,13087.32031,12959.41992,12965.59961,112900000
1669,12966.4502,13022.50977,12940.07031,12951.78027,125290000
1670,12948.95996,13089.11035,12923.44043,13034.49023,161230000
1671,13026.19043,13076.87988,13007.83984,13074.04004,116850000
1672,13072.87012,13157.28027,13072.87012,13155.12988,124130000
1673,13154.88965,13195.34961,13139.08008,13169.87988,118530000
1674,13170.33984,13306.57031,13170.33984,13248.44043,124510000
1675,13250.04981,13329.44043,13227.44043,13245.4502,127510000
1676,13241.37988,13264.41016,13147.19043,13170.71973,101190000
1677,13170.79981,13190.41016,13118.45996,13135.00977,117620000
1678,13135.16992,13244.33008,13134.62988,13235.38965,142980000
1679,13236.61035,13365.86035,13232.58008,13350.95996,152920000
1680,13351.04004,13357.7002,13251.74023,13251.96973,149020000
1681,13246.66992,13314.63965,13216.03027,13311.71973,119800000
1682,13309.9502,13309.9502,13122.53027,13190.83984,413270000
1683,13190.15039,13190.37988,13128.54981,13138.92969,47710000
1684,13138.84961,13174.87988,13076.87012,13114.58984,79410000
1685,13114.96973,13141.74023,12964.08008,13096.30957,100160000
1686,13095.08008,13095.45996,12926.86035,12938.11035,85980000
1687,12938.19043,13109.12988,12883.88965,13104.13965,145740000
1688,13104.29981,13412.70996,13104.29981,13412.54981,161430000
1689,13413.00977,13430.59961,13358.29981,13391.36035,129630000
1690,13391.04981,13447.11035,13376.23047,13435.20996,107590000
1691,13436.12988,13436.12988,13343.32031,13384.29004,113120000
1692,13377.41992,13377.41992,13293.12988,13328.84961,129570000
1693,13329.91992,13416.54981,13329.08008,13390.50977,123070000
1694,13391.82031,13478.2002,13382.29004,13471.21973,133520000
1695,13471.4502,13496.67969,13439.96973,13488.42969,119200000
1696,13488.42969,13520.17969,13459.83984,13507.32031,118460000
1697,13507.32031,13546.37012,13445.79981,13534.88965,102280000
1698,13534.88965,13534.88965,13468.95996,13511.23047,118540000
1699,13511.23047,13633.88965,13510.24023,13596.01953,183900000
1700,13596.01953,13649.92969,13571.86035,13649.7002,260900000
1701,13649.7002,13712.20996,13622.95996,13712.20996,144300000
1702,13712.20996,13794.29004,13710.12988,13779.33008,104490000
1703,13779.33008,13879.66016,13779.33008,13825.33008,124780000
1704,13825.33008,13895.98047,13825.33008,13895.98047,130300000
1705,13895.98047,13915.71973,13862.57031,13881.92969,113570000
1706,13881.92969,13969.99023,13880.00977,13954.41992,108230000
1707,13954.41992,13966.12988,13896.9502,13910.41992,117200000
1708,13910.41992,13941.05957,13860.58008,13860.58008,142600000
1709,13860.58008,14019.78027,13860.58008,14009.79004,128420000
1710,14009.79004,14009.79004,13866.83008,13880.08008,130420000
1711,13880.08008,14013.59961,13880.08008,13979.29981,134390000
1712,13979.29981,13991.61035,13913.17969,13986.51953,127560000
1713,13986.51953,13988.05957,13852.2002,13944.04981,118530000
1714,13944.04981,14022.62012,13944.04981,13992.96973,99860000
1715,13992.96973,13992.96973,13940.41016,13971.24023,75090000
1716,13971.24023,14038.96973,13968.94043,14018.7002,117180000
1717,14018.7002,14029.34961,13945.78027,13982.91016,130520000
1718,13982.91016,13990.36035,13921.94043,13973.38965,114800000
1719,13973.38965,14001.92969,13906.73047,13981.75977,195670000
1720,13981.75977,14044.82031,13977.90039,14035.66992,136410000
1721,14035.66992,14058.26953,13919.28027,13927.54004,138540000
1722,13927.54004,13927.54004,13834.40039,13880.62012,131410000
1723,13880.62012,14001.19043,13880.62012,14000.57031,139850000
1724,14000.57031,14081.58008,13784.00977,13784.16992,152190000
1725,13784.16992,13918.44043,13784.16992,13900.12988,132580000
1726,13900.12988,14104.86035,13880.19043,14075.37012,107010000
1727,14075.37012,14149.15039,14050.17969,14054.49023,177150000
1728,14054.49023,14107.08984,13937.59961,14089.66016,125920000
1729,14089.66016,14128.20996,14030.37012,14127.82031,110810000
1730,14127.82031,14286.37012,14127.82031,14253.76953,112100000
1731,14253.76953,14320.65039,14253,14296.24023,116510000
1732,14296.24023,14354.69043,14296.24023,14329.49023,117080000
1733,14329.49023,14413.16992,14329.49023,14397.07031,115630000
1734,14397.07031,14448.05957,14373.32031,14447.29004,94880000
1735,14447.29004,14478.79981,14412.05957,14450.05957,102100000
1736,14450.05957,14472.79981,14411.66016,14455.28027,83920000
1737,14455.28027,14539.29004,14455.28027,14539.13965,117390000
1738,14539.13965,14539.13965,14470.5,14514.11035,407770000
1739,14514.11035,14521.58984,14404.20996,14452.05957,119640000
1740,14452.05957,14514.33984,14382.08984,14455.82031,122170000
1741,14455.82031,14546.82031,14455.82031,14511.73047,121240000
1742,14511.73047,14511.73047,14383.01953,14421.49023,110450000
1743,14421.49023,14519.9502,14421.49023,14512.03027,101450000
1744,14512.03027,14563.75,14395,14447.75,124840000
1745,14447.75,14561.54004,14447.75,14559.65039,96030000
1746,14559.65039,14559.65039,14439.54981,14526.16016,92680000
1747,14526.16016,14585.09961,14520.86035,14578.54004,153710000
1748,14578.54004,14605.71973,14531.48047,14572.84961,91400000
1749,14572.84961,14684.49023,14572.84961,14662.00977,98420000
1750,14662.00977,14683.12988,14525.36035,14550.34961,127140000
1751,14550.34961,14625.24023,14538.71973,14606.11035,104790000
1752,14606.11035,14606.11035,14434.42969,14565.25,131250000
1753,14565.25,14613.48047,14497.79981,14613.48047,106680000
1754,14613.48047,14716.45996,14598.5,14673.45996,128580000
1755,14673.45996,14826.66016,14673.45996,14802.24023,120520000
1756,14802.24023,14887.50977,14785.36035,14865.13965,144570000
1757,14865.13965,14865.20996,14790.57031,14865.05957,119570000
1758,14865.05957,14865.05957,14598.58008,14599.2002,161680000
1759,14599.2002,14761.73047,14599.2002,14756.78027,126320000
1760,14756.78027,14756.78027,14560.80957,14618.58984,168010000
1761,14618.58984,14650.25977,14495.29004,14537.13965,158050000
1762,14537.13965,14553.73047,14444.03027,14547.50977,207200000
1763,14547.50977,14588.83008,14457.59961,14567.16992,146890000
1764,14567.16992,14721.41992,14554.29004,14719.45996,137320000
1765,14719.45996,14747.41992,14666.54004,14676.29981,138020000
1766,14676.29981,14768.04981,14665.4502,14700.79981,129600000
1767,14700.79981,14743.49023,14684.82031,14712.54981,128910000
1768,14712.54981,14844.95996,14712.54981,14818.75,97060000
1769,14818.75,14839.79981,14734.46973,14839.79981,148250000
1770,14839.79981,14839.79981,14687.04981,14700.9502,112620000
1771,14700.9502,14834.62988,14700.9502,14831.58008,91180000
1772,14831.58008,15009.58984,14831.58008,14973.95996,119890000
1773,14973.95996,14988.87012,14941.08984,14968.88965,116160000
1774,14968.88965,15056.66992,14968.88965,15056.2002,117230000
1775,15056.2002,15106.80957,15021.87012,15105.12012,113510000
1776,15105.12012,15144.83008,15046.87012,15082.62012,97810000
1777,15082.62012,15118.49023,15038.17969,15118.49023,98980000
1778,15113.41992,15113.41992,15053.45996,15091.67969,94280000
1779,15091.67969,15219.54981,15089.29981,15215.25,124590000
1780,15211.87012,15301.33984,15175.38965,15275.69043,124030000
1781,15273.91992,15302.49023,15215.82031,15233.21973,145090000
1782,15234.75,15357.40039,15234.75,15354.40039,175750000
1783,15348.33008,15391.83984,15314.15039,15335.28027,116420000
1784,15334.96973,15434.5,15325.67969,15387.58008,122970000
1785,15387.12012,15542.40039,15265.95996,15307.16992,171850000
1786,15300.57031,15348.41016,15180.23047,15294.5,148810000
1787,15290.74023,15306.70996,15199.62988,15303.09961,105660000
1788,15307.33008,15521.49023,15307.33008,15409.38965,130680000
1789,15399.94043,15400.25,15229.53027,15302.79981,114020000
1790,15306.01953,15398.7002,15280.99023,15324.53027,121150000
1791,15322.21973,15392.37988,15115.57031,15115.57031,208830000
1792,15123.54981,15254.11035,15123.54981,15254.03027,147980000
1793,15255.21973,15304.98047,15100.78027,15177.54004,134280000
